,Clinic,Location,Bus Route,Cross Streets,Hours,Language,Patient Eligibility,Special Populations Served,Payer Population Served,Payment Practices,Required Documents,Service Description,Clinical Services,Routine Services,Clinic Type
0,;AIDS Resource Center of Wisconsin;ARCW Medical Clinic;,";820 N Plankinton Avenue, Milwaukee, WI 53203;(414) 223-6800;www.arcw.org;","s: 14, 15, 19, 30, 57, and GoldLine;", N Plankinton Avenue and W Wells Street;, Monday – Friday 8:00 am - 4:00 pm; Call to schedule an appointment; Walk-ins accepted;," English, Spanish, Language Line;", ;  All ages; Clinic will assist with insurance enrollment ;, All individuals diagnosed with HIV;," Commercial Insurance; Medicaid / ;BadgerCare; Medicare; Qualified Health Plan Insurer; Uninsured: ;ARCW Medical Clinic will see any HIV patient, regardless of ability ;to pay;", Clinic bills 3rd party payer;, Proof of HIV;,";The AIDS Resource Center of Wisconsin is home to the ARCW Medical Center ;– Wisconsin’s largest and fastest growing HIV health care system. Through its ;integrated medical, dental and mental health clinics along with pharmacy and ;social services that include food pantry, a legal program, and social work case ;management, HIV patients in Milwaukee gain the health care and social services ;they need for long-term survival with HIV disease.;",;  Behavioral Health Services ;(for patients with HIV);  Psychiatric Services;  Therapy;  Dental Health Services  ;(for patients with HIV);  Health Insurance  ;Navigation Services; Medication Services;  Pharmacy On-site; Primary Care; Social Work Services;  Substance Use Disorder ;Services (provided through ;ARCW Behavioral Health ;and Wellness Clinic);      ;,  ;(for patients with HIV); Flu Shots; HIV;  Immunizations  ;other than Flu; Pregnancy Testing; STD; TB Testing;,STD/HIV;;
1,;Angel of Hope Clinic;,";209 W Orchard Street, Milwaukee, WI 53204;(414) 647-7466; Fax: (414) 527-7153;","s: 15, 56, and GreenLine ;", S 2nd Street and W Orchard Street ;, Monday – Wednesday 8:30 am – 4:30 pm; Thursday ;9:30am-5:30pm; Friday 8:30 am – Noon; Call to schedule an appointment; Walk-ins accepted for established patients;," English, Spanish, Language Line;", ;  Ages 6 months and older; Clinic will assist with insurance enrollment ;, Homeless;, Charity Program; Commercial Insur-;ance; Medicaid / BadgerCare; Medicare; Uninsured;, Sliding fee scale;, Photo ID; proof of income; insurance card;,;The Angel of Hope Clinic provides a full range of primary care services. ;,;  Health Insurance  ;Navigation Services; Laboratory Services; Medication Services;  Primary Care; Vision Health Services;,; Diabetes; Dietary/Nutrition Services; Flu Shots; HIV;   Immunizations  ;other than Flu; Pregnancy Testing; STD; TB Testing;  Weight Loss Programs /  ;Support Groups;,Medical  ;Free or Charitable Clinic;;
2,;Ascension Columbia St. Mary’s  ;Ebenezer Health Resource Center;,";3132 N Dr Martin Luther King Drive, Milwaukee, WI 53212 ;(414) 793-0328;www.columbia-stmarys.org/Ebenezer-Health-Resource-Center;julia.means@ascension.org;","s: 19, 60;", N Dr Martin Luther King Drive and W Auer Avenue;, Wednesday and Thursday 9:00 am – 4:30 pm; Walk-ins accepted;," English, Language Line;",; All ages; Clinic does not provide primary care; Clinic will assist with insurance enrollment;, Pregnant Women; People with ;chronic disease such as diabetes and/or hypertension;, Commercial Insurance; Medicaid / ;BadgerCare; Medicare; Qualified Health Plan Insurer; Uninsured;, Completely free to all users;, Call to inquire;,";Ascension Columbia St. Mary’s Ebenezer Health Resource Center supports the ;health of individuals by offering navigation services to community resources, ;assistance in understanding eligibility for programs, helping to navigate health ;insurance and health systems and educating about specific health issues.;",,;  Health Information  ;and Referral;,Medical  ;Free or Charitable Clinic;;
3,;Ascension Columbia St. Mary’s ;Family Health Center;,";1121 E. North Avenue, Milwaukee, WI 53212 ;(414) 267-6500; Fax: (414) 267-3893;https://ascension.org ;","s: 14, 21;", N Humboldt Boulevard and E North Avenue;, Monday 9:00am – 5:00pm; Tuesday and Wednesday ;8:30am – 6:00pm; Thursday and Friday 9:00am – 5:00pm; Call to schedule an appointment; Walk-ins accepted;," English, Spanish, Language Line;",; All ages; Clinic will assist with insurance enrollment;, Pregnant Women;, Commercial Insurance; Medicaid / ;BadgerCare; Medicare  ;, Clinic bills third party payer;, Photo ID; insurance card;,";Provides primary care services to all ages, from infancy to adolescence to adults ;and seniors. Offers family planning and obstetrical care, chronic disease care, im-;munizations, and counseling services for established patients. Lab and X-ray  ;on site.;",; Behavioral Health Services;  Therapy; Dental Health Services;  Health Insurance  ;Navigation Services; Laboratory Services; Primary Care; Radiology Services; Social Work Services; Women’s Health Services;,; Dementia Screening;  Diabetes Education and ;Nutrition  Counseling; Dietary/Nutrition Services; Flu Shots; HIV; Immunizations other;    than Flu; Pregnancy Testing; STD; TB Testing;,Medical  ;Free or Charitable Clinic;;
4,;Ascension Seton Dental Clinic;,";1730 S 13th Street, Milwaukee, WI 53204 ;(414) 383-3220;  Fax: (414) 383-3363;www.columbia-stmarys.org/Ann_Seton_Dental;","s: 17, 19, and 54 ;", S 13th Street and W Forest Home Avenue south  ;of W Mitchell Street;, Monday – Thursday 7:30 am – 4:00 pm;  ;Friday 7:30 am – Noon; Call to schedule an appointment;  Walk-in urgent care registration — patients must arrive at 7:30 ;with required documents to guarantee same day appointment;," English, Spanish;",; All ages; Clinic will assist with insurance enrollment;, Homeless; Pregnant Women;, Medicaid / BadgerCare; Uninsured;, Clinic bills 3rd party payer;," Proof of income, proof of address, photo ID;",;The clinic provides emergency dental services for pain and infection.    ;,; Dental Health Services;  Health Insurance  ;Navigation Services; Prenatal Oral Health; Radiology Services;,,Dental;;
5,;Ascension St. Ben’s Clinic;,";1027 N 9th Street, Milwaukee, WI 53233 ;(414) 765-0606;  Fax: (414) 765-0226;www.columbia-stmarys.org/St_Bens_Clinic;","s: 12, 31, 33, 80 ;", N 9th and W State Streets;, Monday-Thursday 9:00 am – 4:00 pm;  ;Friday 9:00 am – Noon ; Call to schedule an appointment; Walk-ins restricted to morning hours;," English, clinic has access to translators through  ;Ascension Columbia-St. Mary’s;",; Adults 18 – 65; Clinic will assist with insurance enrollment;, Homeless;, Medicaid / BadgerCare; Medicare; ;Uninsured;, Sliding fee scale; clinic bills 3rd party payer;, Call to inquire;,;Provides primary health care services to men and women who are homeless or ;at risk of homelessness. Services are provided by nurse practitioners who are ;associated with Ascension Columbia St. Mary’s and are supported by volunteer ;physicians associated with Ascension. St. Ben’s Clinic nurses also provide out-;reach services at homeless shelters and community meal sites.  Social workers are ;available for patient consultation at the clinic.;,; Dental Service Referrals;  Medication Services  ;(established patients); Primary Care; Social Work Services; Women’s Health Services; Specialty Services ;   May be available upon ;referral for established ;patients    ;,; Diabetes; Flu Shots;  Immunizations  ;other than Flu; STD; TB Testing;,Medical  ;Free or Charitable Clinic;;
6,;Aurora Family Service — Family Counseling Clinic;,";3200 W Highland Boulevard, Milwaukee WI 53208;(414) 342-4560; or (414) 345-4941; Fax: (414) 342-5326;http://bit.ly/2gVv6X9;","s: 27, 31, 35, and PurpleLine;", N 32nd Street and W Highland Boulevard;, Monday – Thursday 9:00 am – 8:00 pm; Friday 9:00 am – ;5:00 pm; Call to schedule an appointment;," English, Spanish, Language Line;", ; All ages; Clinic will assist with insurance enrollment for established patients ;,, Commercial Insurance; Medicaid / ;BadgerCare; Qualified Health Plan Insurer; Uninsured;, Sliding fee scale;, Insurance card (if applicable);,";Aurora Family Service is a safe, caring, and supportive resource for individuals and ;families coping with emotional or relationship problems. A team of licensed family ;therapists has extensive experience partnering with diverse families for the resolu-;tion of a wide range of concerns. The following services are offered: counseling for ;children and families; couples counseling; individual counseling; family education ;and support. Spanish-speaking therapists are available.;",; Behavioral Health Services;    Therapy (Outpatient ;Psychotherapy  ;Services only); Social Work Services;,,Behavioral Health;;
7,;Clinical Services; Behavioral Health Services;  Therapy;  Counseling for sexual ;trauma;Aurora Healing Center on Bruce Street;,";130 W Bruce Street, Suite 400, Milwaukee WI 53204 ;(414) 671-4325; Fax: (414) 671-6836;aurora.org/healingservices;","s: 15, 19, 23, BlueLine, and GreenLine  ;", S 2nd  and W Bruce Streets;," Monday – Thursday 9:00 am - 6:00 pm;  ;Friday 9:00 am – Noon; Call to schedule an appointment;  Accepts established patients during clinic hours; patients are able ;to use the space for self healing including reading, journaling, ;creating art work, etc.;"," English, Spanish, Language Line;",; Adults 18 and older; Clinic serves survivors of sexual assault;,, Uninsured;, Completely free to all users;, None;,";The Aurora Healing Center on Bruce Street provides advocacy, group and individual ;counseling to adults of all genders who are survivors of sexual assault or sexual ;violence. The abuse does not have to be reported and could have happened at any ;point in their lives. Counselors can also provide support to loved ones. The center ;provides educational workshops for survivors, loved ones and the community on ;topics related to trauma or sexual violence. There are Spanish-speaking counselors ;who provide all of the previously mentioned services.;",,,Behavioral Health;;
8,;Aurora Walker’s Point Community Clinic;,";130 W Bruce Street, Suite 200, Milwaukee, WI 53204;(414) 384-1400 or (414) 225-4215; Fax: (414) 672-7012 ;www.aurorahealthcare.org; steve.ohly@aurora.org;","s: 15, 19, 23, BlueLine, and GreenLine;", Two blocks north of S 2nd Street and W National ;Avenue;," Monday – Thursday 7:30 am – 5:00 pm; Friday 8:00 am – ;5:00 pm; Saturday mornings (for established patients only);  Walk-ins accepted. Walk-ins are encouraged to arrive just before ;8:00 am Monday – Thursday; if coming at other times, the ability ;to be seen is subject to rare availability or if there is a no-show;"," English, Spanish, Language Line;", ;  All ages - Focus is on ages 18 years old and above; Clinic will assist with insurance enrollment for established patients;, Homeless; Undocumented People; ;Spanish Speaking;, Uninsured;, Sliding fee scale;, None;,;Urgent and Primary Care for uninsured (best for those not eligible for any insurance ;and for those with language or cultural challenges).;,; Behavioral Health Services;  Therapy; Health Coaching;  Health Insurance  ;Navigation Services ; Laboratory Services; Medication Services;  Primary Care ; Social Work Services; Substance Use Disorder ;Services; Women’s Health Services; Specialty Services; (subject to availability); Cardiology ; Dermatology ; Foot Care / Podiatry; Physical Therapy ; Pulmonary   ;,; Diabetes; Dietary/Nutrition Services; Flu Shots; Hearing;  Immunizations  ;other than Flu; Pregnancy Testing ;  Weight Loss Programs / ;Support Groups;,Medical  ;Free or Charitable Clinic;;
9,;Brady East Sexually Transmitted Disease Clinic;,";1240 E Brady Street, Milwaukee, WI 53202;(414) 272-2144; Fax: (414) 272-6568  ;www.bestd.org; contactus@bestd.org;","s: 14, 30, 30X, GoldLine, and GreenLine;", E Brady Street and N Arlington Place;, Monday – Tuesday 6:00 pm - 8:00 pm; Call to schedule an appointment; Walk-ins accepted;, English;, ; Ages 14 and over;,, Uninsured;, Free to all users;, Call to inquire;,";BESTD Clinic provides: anonymous and confidential HIV antibody counseling and ;testing for men and women; men’s STD diagnosis, testing and treatment; and ;hepatitis A and B screening and vaccinations.;",; Medication Services ;  Primary Care;,; HIV;   Immunizations  ;other than Flu; STD;,"STD/HIV;As of December 19, 2018, this clinic had not verified this information.;;"
